id,key,value,type
151921379,place,hamlet,regular
151921379,id,1852849,gnis
151921379,gnis:Class,Populated Place,regular
151921379,gnis:County,Clear Creek,regular
151921379,gnis:ST_num,08,regular
151921379,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151921379,gnis:ST_alpha,CO,regular
151921379,gnis:County_num,019,regular
151935837,ele,2100,regular
151935837,name,Twin Forks,regular
151935837,is_in,"Jefferson,Colorado,Colo.,CO,USA",regular
151935837,place,hamlet,regular
151935837,id,182605,gnis
151935837,gnis:Class,Populated Place,regular
151935837,gnis:County,Jefferson,regular
151935837,gnis:ST_num,08,regular
151935837,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151935837,gnis:ST_alpha,CO,regular
151935837,gnis:County_num,059,regular
151960875,ele,2626,regular
151960875,name,Empire,regular
151960875,is_in,"Clear Creek,Colorado,Colo.,CO,USA",regular
151960875,place,village,regular
151960875,id,181355,gnis
151960875,gnis:Class,Populated Place,regular
151960875,population,335,regular
151960875,gnis:County,Clear Creek,regular
151960875,gnis:ST_num,08,regular
151960875,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151960875,gnis:ST_alpha,CO,regular
151960875,gnis:County_num,019,regular
151960875,population,335;2006,census
175845293,highway,turning_circle,regular
175847236,ref,215,regular
175847236,highway,motorway_junction,regular
175847492,ref,11,regular
175847492,highway,motorway_junction,regular
175847563,ref,11,regular
175847563,highway,motorway_junction,regular
175847764,highway,turning_circle,regular
175847782,highway,traffic_signals,regular
175848553,source,Bing,regular
175848553,highway,crossing,regular
175851021,highway,give_way,regular
175853905,highway,traffic_signals,regular
175853905,traffic_signals,signal,regular
175855128,ref,3,regular
175855128,highway,motorway_junction,regular
175857191,access,private,regular
175857191,barrier,gate,regular
175857420,ref,299,regular
175857420,highway,motorway_junction,regular
175862063,ref,217,regular
175862063,exit_to,Westminster/Boulder,regular
175862063,highway,motorway_junction,regular
175862791,highway,motorway_junction,regular
175862815,highway,traffic_signals,regular
175867310,ref,215,regular
175867310,exit_to,58th Avenue,regular
175867310,highway,motorway_junction,regular
175868451,highway,turning_circle,regular
175869563,ref,306,regular
175869563,exit_to,Kiowa;Bennett,regular
175869563,highway,motorway_junction,regular
175872588,highway,traffic_signals,regular
175872827,highway,turning_circle,regular
175876774,highway,turning_circle,regular
175881860,railway,level_crossing,regular
175884652,ref,217A,regular
175884652,exit_to,Westminster/Boulder,regular
175884652,highway,motorway_junction,regular
175884652,old_ref,217,regular
175885884,railway,level_crossing,regular
175886514,highway,turning_circle,regular
175887708,highway,traffic_signals,regular
175887708,traffic_signals,signal,regular
175889091,source,Yahoo,regular
175889091,highway,turning_circle,regular
175890644,source,Yahoo,regular
175890644,highway,turning_circle,regular
175891150,highway,turning_circle,regular
175891450,highway,turning_circle,regular
175891487,highway,turning_circle,regular
175891956,ref,284,regular
175891956,highway,motorway_junction,regular
175892304,source,Yahoo,regular
175892304,highway,turning_circle,regular
175893313,highway,turning_circle,regular
175893645,highway,turning_circle,regular
175894249,highway,traffic_signals,regular
175895023,source,Yahoo,regular
175895023,highway,turning_circle,regular
175896248,highway,turning_circle,regular
175897298,noexit,yes,regular
175897298,source,Bing,regular
175898878,highway,bus_stop,regular
175899445,highway,traffic_signals,regular
175899513,source,Bing,regular
175899513,highway,traffic_signals,regular
175900158,highway,traffic_signals,regular
175900158,traffic_signals,signal,regular
175900347,highway,traffic_signals,regular
175900347,traffic_signals,signal,regular
175901583,highway,traffic_signals,regular
175901583,traffic_signals,signal,regular
175901736,highway,traffic_signals,regular
175901736,traffic_signals,signal,regular
